Reaction ID;Reaction class;
10384635;DA;
38125469;DA;
10386353;DA;
8666129;DA;
37454598;DA;
10388240;DA;
10384637;DA;
10386850;DA;
10386848;DA;
10386349;DA;
10386854;DA;
10386858;DA;
10384626;DA;
10388316;DA;
10425941;DA;
46700900;DA;
10384625;DA;
10388317;DA;
10386853;DA;
10388315;DA;
10384634;DA;
10384631;DA;
10386856;DA;
10386855;DA;
10384636;DA;
10386849;DA;
10388318;DA;
10384627;DA;
10384638;DA;
30261720;DA;
10386857;DA;
10425945;DA;
8934997;DA;
38125464;DA;
38564056;DA;
10386357;DA;
10386861;DA;
10425942;DA;
10386360;DA;
10388307;DA;
10425947;DA;
10386352;DA;
10384643;DA;
10425948;DA;
10384642;DA;
10425944;DA;
10386863;DA;
10425943;DA;
37079060;DA;
10425949;DA;
10386355;DA;
10386350;DA;
30261723;DA;
10388314;DA;
11126807;DA;
10425951;DA;
10425950;DA;
10425952;DA;
10386356;DA;
10386358;DA;
10386860;DA;
10384644;DA;
10386359;DA;
10386862;DA;
10386351;DA;
10384645;DA;
43521776;DA;
38125457;DA;
30261586;DA;
9829793;DA;
3153620;DA;
3153523;DA;
38125466;DA;
10388765;DA;
10384630;DA;
10425955;DA;
10386859;DA;
10386363;DA;
10074330;DA;
10425956;DA;
10386364;DA;
10386852;DA;
27972591;DA;
38125509;DA;
10384639;DA;
10425957;DA;
30261729;DA;
10425954;DA;
49709320;DA;
49709400;DA;
10388761;DA;
10388319;DA;
10386362;DA;
10386365;DA;
38125505;DA;
2015581;DA;
5314819;DA;
38125459;DA;
38125465;DA;
27972592;DA;
10386354;DA;
10386864;DA;
10388763;DA;
10425946;DA;
37079061;DA;
10388764;DA;
10388770;DA;
10388767;DA;
10384647;DA;
10388772;DA;
10425953;DA;
10388771;DA;
10388768;DA;
10386361;DA;
10388769;DA;
10388762;DA;
31427765;DA;
27972574;DA;
4962738;DA;
10067752;DA;
30261587;DA;
38125458;DA;
10388776;DA;
10388777;DA;
10425958;DA;
10386366;DA;
47238959;DA;
10388775;DA;
10388774;DA;
46150106;DA;
27972577;DA;
28204273;DA;
10445902;DA;
4427071;DA;
2674698;DA;
10388773;DA;
10388766;DA;
49778664;DA;
10051082;DA;
10280770;DA;
10026462;DA;
10388778;DA;
36149199;DA;
29466732;DA;
8913998;DA;
32401116;DA;
4371697;DA;
10445904;DA;
9153109;DA;
8863293;DA;
29466730;DA;
35611748;DA;
2201378;DA;
29466728;DA;
9414159;DA;
9414160;DA;
43470961;MA;
43470972;MA;
